D_CONTROLE,SUBJETIVIDADE,SUBJETIVIDADE COMPLEMENTAR,DATA DO FATO,HORA DO FATO,CIDADE DO FATO,BAIRRO DO FATO,SEXO DA VITIMA,COR/RACA DA VITIMA,IDADE DA VITIMA,INSTRUMENTO UTILIZADO,LOCAL DO FATO
3405,CVLI,Homicídio,01/02/2013,09:30,Maceió,Vergel do Lago,Masculino,Branca,33,PAF,Via Pública
58,CVLI,Homicídio,06/01/2012,01:15,São Miguel dos Campos,Centro,Masculino,Parda,26,PAF,Via Pública
59,CVLI,Homicídio,06/01/2012,13:00,Maceió,Tabuleiro do Martins,Masculino,NI,21,PAF,Via Pública
60,CVLI,Homicídio,06/01/2012,14:00,Rio Largo,Mata do Rolo,Masculino,Parda,19,PAF,Via Pública
24257,CVLI,Homicídio,01/02/2018,00:00,Maceió,Benedito Bentes,Masculino,Parda,37,ESPANCAMENTO,Imediações de Casa
62,CVLI,Homicídio,05/01/2012,22:00,São Miguel dos Campos,Centro,Masculino,NI,25,PAF,Terreno Baldio
63,CVLI,Homicídio,07/01/2012,08:00,União dos Palmares,Zona Rural,Masculino,Parda,,ESPANCAMENTO,Vegetação
64,CVLI,Homicídio,07/01/2012,14:00,Pilar,Centro,Masculino,NI,18,PAF,Via Pública
65,CVLI,Homicídio,07/01/2012,15:00,Arapiraca,Capiatã,Masculino,Parda,18,PAF,Porta de Casa
66,CVLI,Roubo com Resultado Morte,07/01/2012,17:30,Santana do Ipanema,Zona Rural,Masculino,Parda,29,PAF,Via Pública
67,CVLI,Homicídio,07/01/2012,20:00,Maceió,Pinheiro,Masculino,Parda,36,PAF,Via Pública
68,CVLI,Homicídio,07/01/2012,20:20,Palmeira dos Índios,Palmeira de Fora,Masculino,Parda,27,PAF,Porta de Casa
69,CVLI,Homicídio,07/01/2012,20:55,São Luís do Quitunde,Centro,Masculino,NI,37,PAF,Via Pública
70,CVLI,Homicídio,07/01/2012,23:25,Rio Largo,Zona Rural,Masculino,Branca,32,BRANCA,Via Pública
71,CVLI,Homicídio,07/01/2012,23:30,Jundiá,Centro,Masculino,NI,24,PAF,Próximo de Casa
72,CVLI,Homicídio,08/01/2012,00:30,Arapiraca,Manoel Teles,Masculino,Parda,17,BRANCA,Via Pública
73,CVLI,Homicídio,08/01/2012,00:40,Boca da Mata,Centro,Masculino,Parda,26,PAF,Via Pública
74,CVLI,Roubo com Resultado Morte,08/01/2012,02:30,Messias,Centro,Masculino,NI,11,BRANCA,Via Pública
75,CVLI,Homicídio,08/01/2012,05:00,São Luís do Quitunde,Zona Rural,Masculino,NI,27,PAF,Via Pública
