D_CONTROLE,SUBJETIVIDADE,SUBJETIVIDADE COMPLEMENTAR,DATA DO FATO,HORA DO FATO,CIDADE DO FATO,BAIRRO DO FATO,SEXO DA VITIMA,COR/RACA DA VITIMA,IDADE DA VITIMA,INSTRUMENTO UTILIZADO,LOCAL DO FATO
231,CVLI,Homicídio,03/02/2012,15:10,Rio Largo,Tabuleiro do Pinto,Masculino,NI,28,PAF,Bar
232,CVLI,Homicídio,03/02/2012,21:00,Pilar,Chã do Pilar,Masculino,NI,37,PAF,Via Pública
233,CVLI,Homicídio,03/02/2012,23:45,São Miguel dos Campos,Centro,Masculino,NI,22,PAF,Bar
234,CVLI,Homicídio,03/02/2012,17:45,Maceió,Jaraguá,Masculino,Branca,26,PAF,Local de Trabalho
235,CVLI,Homicídio,02/02/2012,06:30,São Sebastião,Zona Rural,Feminino,Preta,32,PAF,Plantação
39202,CVLI,Homicídio,01/07/2020,19:39,Maceió,Benedito Bentes,Feminino,Parda,19,ESPANCAMENTO,Imediações de Casa
237,CVLI,Homicídio,04/02/2012,04:00,União dos Palmares,Centro,Masculino,Parda,34,PAF,Via Pública
238,CVLI,Homicídio,04/02/2012,22:50,Maceió,Barro Duro,Masculino,Parda,31,PAF,Próximo de Casa
239,CVLI,Homicídio,05/02/2012,04:00,São Miguel dos Campos,Centro,Masculino,NI,17,PAF,Via Pública
240,CVLI,Homicídio,05/02/2012,16:00,São José da Tapera,Zona Rural,Masculino,Parda,42,ASFIXIA MECÂNICA,Via Pública
241,CVLI,Homicídio,05/02/2012,03:00,Porto de Pedras,Zona Rural,Masculino,Parda,19,PAF,Margem de Rio
49316,CVLI,Roubo com Resultado Morte,01/07/2022,06:32,Maceió,Benedito Bentes,Masculino,Parda,41,PAF,Imediações de Casa
243,CVLI,Homicídio,05/02/2012,03:10,Maceió,Tabuleiro do Martins,Masculino,NI,16,PAF,Via Pública
13596,CVLI,Homicídio,01/08/2015,10:30,Maceió,Benedito Bentes,Masculino,Parda,22,PAF,Imediações de Casa
5735,CVLI,Homicídio,01/09/2013,17:15,Maceió,Vergel do Lago,Masculino,Parda,47,PAF,Imediações de Casa
246,CVLI,Homicídio,05/02/2012,04:00,São Miguel dos Campos,Centro,Masculino,Branca,19,PAF,Via Pública
247,CVLI,Homicídio,05/02/2012,15:15,Maceió,Ponta Grossa,Masculino,Parda,29,PAF,Via Pública
248,CVLI,Homicídio,05/02/2012,01:15,Atalaia,Zona Rural,Feminino,NI,23,BRANCA,Próximo de Casa
249,CVLI,Homicídio,05/02/2012,10:00,Teotônio Vilela,Zona Rural,Masculino,NI,,PAF,Vegetação
250,CVLI,Homicídio,05/02/2012,18:20,Maceió,Cidade Universitária,Masculino,NI,22,PAF,Via Pública
251,CVLI,Homicídio,05/02/2012,01:00,Marechal Deodoro,Centro,Masculino,Parda,36,PAF,Via Pública
252,CVLI,Homicídio,05/02/2012,04:13,Marechal Deodoro,Zona Rural,Masculino,NI,30,PAF,Via Pública
253,CVLI,Homicídio,06/02/2012,05:00,Água Branca,Zona Rural,Masculino,Parda,26,BRANCA,Via Pública
254,CVLI,Homicídio,06/02/2012,18:00,São Miguel dos Campos,Centro,Masculino,NI,28,PAF,Terreno Baldio
255,CVLI,Homicídio,05/02/2012,23:30,Inhapi,Zona Rural,Masculino,Preta,19,PAF,Via Pública
256,CVLI,Homicídio,06/02/2012,11:50,Santana do Ipanema,Centro,Masculino,Parda,27,PAF,Via Pública
257,CVLI,Homicídio,06/02/2012,22:00,Canapi,Zona Rural,Masculino,Parda,48,PAF,Casa de Amigo
5781,CVLI,Homicídio,01/09/2013,00:30,Maceió,Benedito Bentes,Masculino,Parda,22,BRANCA,Imediações de Casa
259,CVLI,Lesão Corporal Seguida de Morte,07/02/2012,14:00,Matriz de Camaragibe,Centro,Masculino,Parda,70,QUEIMADURA,Dentro de Casa
260,CVLI,Lesão Corporal Seguida de Morte,07/02/2012,14:00,Matriz de Camaragibe,Centro,Masculino,Parda,50,QUEIMADURA,Dentro de Casa
261,CVLI,Homicídio,07/02/2012,19:20,São Miguel dos Campos,Centro,Feminino,Parda,12,PAF,Via Pública
262,CVLI,Roubo com Resultado Morte,07/02/2012,20:00,São Miguel dos Campos,Centro,Masculino,Parda,34,PAF,Via Pública
263,CVLI,Homicídio,07/02/2012,21:00,Palmeira dos Índios,Centro,Feminino,Parda,18,PAF,Dentro de Casa
264,CVLI,Homicídio,07/02/2012,07:00,Rio Largo,Tabuleiro do Pinto,Masculino,Parda,27,PAF,Via Pública
265,CVLI,Homicídio,07/02/2012,23:20,Maceió,Cidade Universitária,Masculino,NI,20,PAF,Bar
266,CVLI,Homicídio,07/02/2012,17:00,Major Isidoro,Zona Rural,Masculino,Parda,20,ESPANCAMENTO,Dentro de Casa
267,CVLI,Homicídio,07/02/2012,05:50,Maceió,Pajuçara,Masculino,Parda,,ESPANCAMENTO,Via Pública
268,CVLI,Homicídio,07/02/2012,23:20,Maceió,Cidade Universitária,Masculino,NI,41,PAF,Bar
269,CVLI,Roubo com Resultado Morte,07/02/2012,21:40,São Luís do Quitunde,Centro,Feminino,NI,44,BRANCA,Dentro de Casa
270,CVLI,Homicídio,07/02/2012,19:00,São Sebastião,Bairro não Informado,Masculino,NI,54,ESPANCAMENTO,
9869,CVLI,Homicídio,01/09/2014,18:47,Maceió,Benedito Bentes,Masculino,Branca,58,PAF,Imediações de Casa
272,CVLI,Homicídio,08/02/2012,21:00,Traipu,Zona Rural,Masculino,Parda,47,BRANCA,Vegetação
273,CVLI,Homicídio,08/02/2012,20:50,Maceió,Cidade Universitária,Masculino,NI,40,ESPANCAMENTO,Via Pública
274,CVLI,Homicídio,08/02/2012,02:30,Arapiraca,Ouro Preto,Masculino,Parda,24,PAF,Bar
275,CVLI,Homicídio,08/02/2012,16:30,Maceió,Antares,Masculino,NI,43,PAF/B,Via Pública
276,CVLI,Homicídio,09/02/2012,20:40,Penedo,Centro,Masculino,Parda,24,PAF,Via Pública
277,CVLI,Homicídio,09/02/2012,21:30,Maceió,Santos Dumont,Masculino,NI,25,PAF,Via Pública
278,CVLI,Homicídio,09/02/2012,20:00,Maceió,Jacintinho,Masculino,Parda,28,PAF,Imediações de Casa
279,CVLI,Homicídio,09/02/2012,19:30,Messias,Centro,Masculino,Parda,25,PAF,Via Pública
280,CVLI,Homicídio,09/02/2012,22:50,Maceió,Santa Amélia,Masculino,NI,19,PAF,Via Pública
281,CVLI,Homicídio,08/02/2012,08:00,Flexeiras,Zona Rural,Masculino,Branca,66,ESPANCAMENTO,Imediações de Casa
282,CVLI,Homicídio,10/02/2012,20:00,São Miguel dos Campos,Centro,Masculino,NI,29,PAF,Via Pública
283,CVLI,Homicídio,10/02/2012,19:30,Maceió,Jacintinho,Masculino,NI,19,PAF,Próximo de Casa
284,CVLI,Homicídio,12/02/2012,18:30,Cajueiro,Centro,Feminino,Parda,29,BRANCA,Dentro de Casa
285,CVLI,Homicídio,11/02/2012,22:10,Maceió,Santos Dumont,Masculino,NI,22,PAF,Via Pública
286,CVLI,Homicídio,10/02/2012,22:55,Coruripe,Zona Rural,Masculino,Parda,25,PAF,Quintal de Casa
287,CVLI,Homicídio,11/02/2012,01:50,Maceió,Jacintinho,Masculino,NI,18,PAF,Via Pública
288,CVLI,Homicídio,10/02/2012,19:00,Atalaia,Zona Rural,Masculino,Parda,19,PAF,Via Pública
289,CVLI,Homicídio,12/02/2012,21:30,Cajueiro,Zona Rural,Masculino,NI,27,PAF,Via Pública
290,CVLI,Homicídio,12/02/2012,02:10,Maceió,Riacho Doce,Masculino,NI,24,PAF,Via Pública
291,CVLI,Homicídio,12/02/2012,20:00,União dos Palmares,Centro,Masculino,Parda,44,PAF,Estabelecimento Comercial
292,CVLI,Homicídio,12/02/2012,18:30,Rio Largo,Tabuleiro do Pinto,Masculino,NI,28,PAF,Próximo de Casa
293,CVLI,Homicídio,12/02/2012,18:30,Maceió,Clima Bom,Masculino,Branca,25,PAF,Via Pública
294,CVLI,Homicídio,12/02/2012,03:00,Maceió,Trapiche da Barra,Masculino,NI,24,PAF,Porta de Casa
295,CVLI,Homicídio,12/02/2012,02:00,Satuba,Centro,Masculino,NI,22,BRANCA,Via Pública
296,CVLI,Homicídio,12/02/2012,22:00,São Miguel dos Campos,Centro,Masculino,Parda,24,PAF,Via Pública
297,CVLI,Homicídio,12/02/2012,05:30,Maceió,Ponta Grossa,Masculino,NI,22,PAF,Via Pública
298,CVLI,Homicídio,12/02/2012,05:30,Maceió,Feitosa,Masculino,NI,39,BRANCA,Via Pública
299,CVLI,Homicídio,12/02/2012,16:00,Maceió,Clima Bom,Masculino,NI,33,PAF,Via Pública
300,CVLI,Roubo com Resultado Morte,12/02/2012,02:30,Marechal Deodoro,Centro,Masculino,NI,34,PAF,Via Pública
301,CVLI,Homicídio,12/02/2012,22:40,Maceió,Jacintinho,Masculino,Branca,23,PAF,Bloco Carnavalesco
302,CVLI,Homicídio,12/02/2012,13:40,Maceió,Jacintinho,Masculino,Branca,62,PAF,Dentro de Casa
304,CVLI,Homicídio,12/02/2012,13:40,Maceió,Jacintinho,Masculino,Parda,32,PAF,Dentro de Casa
305,CVLI,Homicídio,13/02/2012,20:50,Pilar,Chã do Pilar,Masculino,Branca,20,PAF,Via Pública
306,CVLI,Homicídio,13/02/2012,07:00,Satuba,Zona Rural,Masculino,NI,17,PAF,Dentro de Casa
9892,CVLI,Homicídio,01/09/2014,18:47,Maceió,Benedito Bentes,Masculino,Parda,42,PAF,Imediações de Casa
17520,CVLI,Homicídio,01/09/2016,22:30,Maceió,Benedito Bentes,Masculino,Parda,16,PAF,Próximo de Casa
309,CVLI,Homicídio,14/02/2012,09:00,União dos Palmares,Roberto Correia de Araújo,Masculino,Parda,31,PAF,Via Pública
310,CVLI,Homicídio,14/02/2012,14:20,Maceió,Farol,Masculino,NI,19,PAF,Bar
311,CVLI,Roubo com Resultado Morte,14/02/2012,14:40,Maceió,Pinheiro,Masculino,Parda,48,PAF,Via Pública
313,CVLI,Homicídio,14/02/2012,07:20,Maceió,Bebedouro,Masculino,Parda,22,PAF,Próximo de Casa
314,CVLI,Homicídio,14/02/2012,19:00,São Miguel dos Campos,Zona Rural,Masculino,Parda,28,BRANCA,Próximo de Casa
315,CVLI,Homicídio,14/02/2012,01:00,Barra de Santo Antônio,Zona Rural,Masculino,Parda,17,PAF,Estrada Vicinal
316,CVLI,Homicídio,15/02/2012,11:00,Viçosa,Zona Rural,Masculino,NI,25,ESPANCAMENTO,Local Público
317,CVLI,Homicídio,15/02/2012,19:15,Palmeira dos Índios,Centro,Masculino,Parda,26,PAF,Via Pública
318,CVLI,Homicídio,15/02/2012,10:00,Maceió,Santo Amaro,Masculino,Parda,25,PAF,Vegetação
319,CVLI,Roubo com Resultado Morte,16/02/2012,13:50,Maceió,Pescaria,Masculino,NI,38,PAF,Via Pública
320,CVLI,Homicídio,16/02/2012,21:00,Maceió,Cidade Universitária,Masculino,NI,17,ESPANCAMENTO,Via Pública
321,CVLI,Homicídio,16/02/2012,16:15,Palmeira dos Índios,Zona Rural,Masculino,Parda,23,PAF,Via Pública
322,CVLI,Homicídio,16/02/2012,00:55,São Miguel dos Campos,Centro,Masculino,NI,21,PAF,Via Pública
323,CVLI,Homicídio,16/02/2012,19:00,Maceió,Tabuleiro do Martins,Masculino,NI,21,PAF,Bar
324,CVLI,Roubo com Resultado Morte,17/02/2012,23:00,Maceió,Bebedouro,Masculino,NI,80,BRANCA,Dentro de Casa
325,CVLI,Homicídio,16/02/2012,22:00,Rio Largo,Mata do Rolo,Masculino,NI,18,PAF,Próximo de Casa
326,CVLI,Homicídio,18/02/2012,09:15,Maceió,Cidade Universitária,Masculino,NI,19,PAF,Via Pública
327,CVLI,Homicídio,18/02/2012,13:38,Maceió,Trapiche da Barra,Masculino,Parda,49,PAF,Próximo de Casa
328,CVLI,Homicídio,18/02/2012,03:30,União dos Palmares,Centro,Masculino,Parda,22,PAF,Via Pública
329,CVLI,Homicídio,18/02/2012,02:10,Rio Largo,Centro,Masculino,NI,25,PAF,Via Pública
330,CVLI,Homicídio,18/02/2012,20:30,Murici,Centro,Masculino,NI,49,PAF,Dentro de Casa
331,CVLI,Homicídio,17/02/2012,15:45,São Miguel dos Milagres,Zona Rural,Masculino,NI,21,PAF,Via Pública
332,CVLI,Homicídio,19/02/2012,01:30,Atalaia,Zona Rural,Masculino,NI,34,BRANCA,Via Pública
333,CVLI,Homicídio,19/02/2012,19:30,Barra de Santo Antônio,Centro,Masculino,Parda,24,PAF,Via Pública
334,CVLI,Homicídio,16/02/2012,19:45,São Miguel dos Campos,Centro,Masculino,NI,29,PAF,Via Pública
335,CVLI,Homicídio,19/02/2012,03:30,Jequiá da Praia,Centro,Masculino,Parda,39,ESPANCAMENTO,Próximo de Casa
336,CVLI,Homicídio,19/02/2012,02:00,Maceió,Antares,Masculino,NI,18,PAF,
337,CVLI,Homicídio,19/02/2012,01:00,Coruripe,Centro,Masculino,Parda,21,PAF,Via Pública
338,CVLI,Homicídio,19/02/2012,18:30,União dos Palmares,Sagrada Família,Masculino,Parda,19,PAF,Via Pública
339,CVLI,Homicídio,19/02/2012,15:30,Rio Largo,Tabuleiro do Pinto,Masculino,NI,17,PAF,Via Pública
340,CVLI,Homicídio,19/02/2012,07:00,Marechal Deodoro,Massagueira,Masculino,Parda,17,BRANCA,Próximo de Casa
341,CVLI,Homicídio,19/02/2012,03:00,Boca da Mata,Centro,Masculino,NI,18,BRANCA,Via Pública
342,CVLI,Homicídio,20/02/2012,23:00,União dos Palmares,Centro,Masculino,Parda,43,PAF,Via Pública
343,CVLI,Homicídio,19/02/2012,19:00,Igaci,Zona Rural,Masculino,NI,75,ESPANCAMENTO,Próximo de Casa
344,CVLI,Homicídio,20/02/2012,01:00,Capela,Zona Rural,Feminino,NI,41,PAF,Vegetação
345,CVLI,Homicídio,20/02/2012,19:15,Murici,Centro,Masculino,NI,17,PAF,Via Pública
346,CVLI,Homicídio,20/02/2012,19:40,Maceió,Jacintinho,Feminino,Parda,11,PAF,Próximo de Casa
347,CVLI,Homicídio,20/02/2012,03:45,Junqueiro,Zona Rural,Masculino,Parda,16,PAF/B,Via Pública
348,CVLI,Homicídio,20/02/2012,04:30,Rio Largo,Centro,Masculino,NI,29,PAF,Via Pública
349,CVLI,Homicídio,21/02/2012,17:58,Murici,Centro,Masculino,Parda,18,PAF,Via Pública
350,CVLI,Homicídio,20/02/2012,17:00,Maceió,Levada,Masculino,NI,19,PAF,Via Pública
351,CVLI,Homicídio,20/02/2012,02:00,Maceió,Feitosa,Masculino,NI,27,PAF,Próximo de Casa
352,CVLI,Homicídio,20/02/2012,15:10,Palmeira dos Índios,Centro,Masculino,NI,33,PAF,Via Pública
353,CVLI,Roubo com Resultado Morte,21/02/2012,16:00,Inhapi,Zona Rural,Masculino,Parda,50,PAF,Via Pública
354,CVLI,Homicídio,21/02/2012,16:20,Murici,Centro,Masculino,NI,19,PAF,Bloco Carnavalesco
355,CVLI,Homicídio,21/02/2012,21:30,União dos Palmares,Centro,Masculino,NI,17,PAF,Próximo de Casa
356,CVLI,Homicídio,17/02/2012,20:30,Rio Largo,Zona Rural,Masculino,NI,27,BRANCA,Local de Trabalho
357,CVLI,Homicídio,21/02/2012,19:10,Rio Largo,Centro,Masculino,NI,27,PAF,Próximo de Casa
358,CVLI,Homicídio,20/02/2012,21:00,Boca da Mata,Centro,Masculino,Parda,20,PAF,Próximo de Casa
359,CVLI,Homicídio,21/02/2012,10:20,Maceió,Bom Parto,Masculino,NI,25,PAF,Via Pública
360,CVLI,Homicídio,21/02/2012,15:30,Maceió,Jacintinho,Masculino,NI,28,PAF,Interior de Veículo
361,CVLI,Homicídio,22/02/2012,11:00,Murici,Centro,Masculino,NI,14,PAF,Próximo de Casa
362,CVLI,Homicídio,22/02/2012,07:00,Arapiraca,Sítio Mulungu,Masculino,Parda,25,ASFIXIA MECÂNICA,Estrada Vicinal
363,CVLI,Homicídio,23/02/2012,08:00,Barra de São Miguel,Bairro não Informado,Masculino,NI,26,PAF,Dentro de Casa
31155,CVLI,Homicídio,01/09/2019,19:20,Maceió,Vergel do Lago,Masculino,Parda,26,PAF,Imediações de Casa
40004,CVLI,Homicídio,01/09/2020,02:15,Maceió,Benedito Bentes,Masculino,Parda,20,ESPANCAMENTO,Imediações de Casa
366,CVLI,Homicídio,23/02/2012,20:00,Penedo,Centro,Masculino,Parda,16,PAF,Via Pública
367,CVLI,Homicídio,23/02/2012,16:00,Palestina,Zona Rural,Feminino,Parda,38,PAF,Porta de Casa
369,CVLI,Homicídio,23/02/2012,03:00,Colônia Leopoldina,Zona Rural,Masculino,Parda,42,PAF,Via Pública
22472,CVLI,Homicídio,01/10/2017,22:08,Maceió,Benedito Bentes,Masculino,Preta,30,BRANCA,Imediações de Casa
371,CVLI,Homicídio,24/02/2012,19:00,Santana do Ipanema,Centro,Masculino,Preta,19,PAF,Próximo de Casa
372,CVLI,Homicídio,24/02/2012,20:25,Marechal Deodoro,Centro,Masculino,NI,25,PAF,Via Pública
373,CVLI,Homicídio,22/02/2012,06:00,União dos Palmares,Sagrada Família,Masculino,Branca,32,PAF/B,Via Pública
374,CVLI,Homicídio,24/02/2012,00:10,Palmeira dos Índios,Vila Maria,Masculino,Parda,24,PAF,Via Pública
375,CVLI,Homicídio,24/02/2012,19:30,União dos Palmares,Roberto Correia de Araújo,Masculino,Parda,33,PAF,Via Pública
376,CVLI,Homicídio,24/02/2012,21:20,Messias,Centro,Masculino,NI,37,PAF,Bar
377,CVLI,Homicídio,24/02/2012,01:30,União dos Palmares,Centro,Masculino,Parda,42,PAF,Via Pública
378,CVLI,Homicídio,24/02/2012,23:00,Arapiraca,Primavera,Masculino,Parda,18,PAF,Via Pública
379,CVLI,Homicídio,24/02/2012,01:30,União dos Palmares,Centro,Masculino,Parda,16,PAF,Via Pública
380,CVLI,Homicídio,24/02/2012,08:00,Piranhas,Zona Rural,Masculino,Parda,28,ESPANCAMENTO,Imediações de Casa
381,CVLI,Homicídio,25/02/2012,02:30,Arapiraca,Sítio Pau d Arco,Masculino,NI,30,PAF,Via Pública
382,CVLI,Roubo com Resultado Morte,24/02/2012,16:00,Arapiraca,Santa Edwiges,Masculino,NI,19,PAF,Via Pública
383,CVLI,Homicídio,25/02/2012,02:30,Coruripe,Zona Rural,Masculino,Parda,24,PAF,Via Pública
50269,CVLI,Homicídio,01/10/2022,11:28,Maceió,Benedito Bentes,Masculino,Parda,21,PAF,Imediações de Casa
385,CVLI,Homicídio,25/02/2012,23:00,Barra de Santo Antônio,Centro,Masculino,Parda,16,BRANCA,Via Pública
386,CVLI,Homicídio,25/02/2012,06:00,Maceió,Cidade Universitária,Masculino,NI,19,ESPANCAMENTO,
387,CVLI,Homicídio,25/02/2012,16:24,Maceió,Petrópolis,Masculino,NI,23,PAF,
388,CVLI,Homicídio,25/02/2012,19:40,Maceió,Tabuleiro do Martins,Masculino,NI,38,PAF,Interior de Veículo
389,CVLI,Homicídio,25/02/2012,21:40,Rio Largo,Tabuleiro do Pinto,Masculino,Parda,33,PAF,Via Pública
390,CVLI,Homicídio,26/02/2012,01:40,Coruripe,Zona Rural,Masculino,Preta,47,PAF,Via Pública
391,CVLI,Homicídio,26/02/2012,10:30,Rio Largo,Tabuleiro do Pinto,Masculino,NI,31,PAF,Interior de Veículo
392,CVLI,Homicídio,26/02/2012,21:30,Maceió,Clima Bom,Masculino,NI,21,PAF,Via Pública
393,CVLI,Homicídio,26/02/2012,20:00,Murici,Centro,Masculino,Parda,21,BRANCA,Via Pública
394,CVLI,Homicídio,26/02/2012,22:30,Palmeira dos Índios,Centro,Masculino,Parda,22,PAF,Via Pública
395,CVLI,Homicídio,23/02/2012,19:30,Satuba,Centro,Feminino,Branca,61,PAF,Porta de Casa
396,CVLI,Homicídio,26/02/2012,10:00,Maragogi,Zona Rural,Masculino,NI,,PAF,Vegetação
397,CVLI,Homicídio,26/02/2012,19:00,Messias,Centro,Masculino,NI,25,PAF,Próximo de Casa
398,CVLI,Homicídio,25/02/2012,23:30,Roteiro,Centro,Masculino,Parda,30,PAF,Via Pública
54601,CVLI,Homicídio,01/10/2023,17:29,Maceió,Benedito Bentes,Masculino,Parda,17,PAF,Via Pública
400,CVLI,Homicídio,27/02/2012,00:05,São José da Laje,Zona Rural,Masculino,Parda,42,PAF,Próximo de Casa
401,CVLI,Homicídio,27/02/2012,14:20,Maceió,Tabuleiro do Martins,Masculino,NI,17,PAF,Via Pública
402,CVLI,Homicídio,26/02/2012,03:00,Joaquim Gomes,Centro,Masculino,Parda,26,PAF,Próximo de Casa
403,CVLI,Homicídio,27/02/2012,14:00,Maceió,Tabuleiro do Martins,Masculino,Parda,19,PAF,Via Pública
404,CVLI,Roubo com Resultado Morte,28/02/2012,07:00,Maceió,Cidade Universitária,Masculino,NI,54,PAF,Estabelecimento Comercial
405,CVLI,Homicídio,28/02/2012,22:30,Arapiraca,Planalto,Masculino,Parda,58,BRANCA,Bar
406,CVLI,Homicídio,23/02/2012,19:30,Satuba,Centro,Masculino,Branca,33,PAF,Interior de Residência
407,CVLI,Homicídio,28/02/2012,05:00,Major Isidoro,Zona Rural,Masculino,Parda,33,BRANCA,Vegetação
408,CVLI,Homicídio,28/02/2012,00:00,Maceió,Cidade Universitária,Feminino,NI,15,PAF,Imediações de Casa
409,CVLI,Homicídio,28/02/2012,06:30,Maceió,Jacintinho,Masculino,Branca,17,BRANCA,Terreno Baldio
410,CVLI,Homicídio,28/02/2012,19:30,Maceió,Santos Dumont,Masculino,Parda,29,PAF,Via Pública
411,CVLI,Homicídio,28/02/2012,03:00,Colônia Leopoldina,Zona Rural,Masculino,NI,28,PAF/B,Via Pública
413,CVLI,Homicídio,28/02/2012,23:20,União dos Palmares,Roberto Correia de Araújo,Masculino,Parda,18,PAF,Via Pública
414,CVLI,Homicídio,01/03/2012,14:30,Maceió,Cidade Universitária,Feminino,NI,31,PAF,Local de Trabalho
415,CVLI,Homicídio,01/03/2012,20:20,Maceió,Tabuleiro do Martins,Masculino,Preta,39,PAF,Dentro de Casa
416,CVLI,Homicídio,01/03/2012,11:30,São Miguel dos Campos,Zona Rural,Masculino,NI,24,PAF,Via Pública
417,CVLI,Homicídio,02/03/2012,04:00,Maceió,Ponta Grossa,Masculino,Parda,21,PAF,Via Pública
418,CVLI,Homicídio,02/03/2012,07:00,União dos Palmares,Centro,Masculino,Parda,10,BRANCA,Via Pública
419,CVLI,Homicídio,02/03/2012,10:00,Campo Alegre,Zona Rural,Masculino,Preta,31,PAF,Dentro de Casa
420,CVLI,Homicídio,02/03/2012,06:30,Taquarana,Centro,Masculino,Parda,51,PAF,Terreno Baldio
421,CVLI,Roubo com Resultado Morte,02/03/2012,13:00,Branquinha,Zona Rural,Masculino,NI,67,BRANCA,Via Pública
422,CVLI,Homicídio,03/03/2012,22:00,São Miguel dos Campos,Centro,Masculino,Parda,49,PAF,Próximo de Casa
423,CVLI,Homicídio,03/03/2012,05:30,Maceió,Poço,Masculino,NI,19,PAF,Canal
424,CVLI,Homicídio,03/03/2012,20:00,Palmeira dos Índios,Centro,Masculino,Parda,34,PAF,Dentro de Casa
425,CVLI,Homicídio,03/03/2012,02:00,Arapiraca,Centro,Masculino,Parda,28,PAF,Via Pública
426,CVLI,Homicídio,27/02/2012,19:00,Porto Calvo,Zona Rural,Masculino,NI,,PAF,Vegetação
427,CVLI,Homicídio,03/03/2012,02:00,Arapiraca,Centro,Feminino,Parda,26,PAF,Via Pública
428,CVLI,Homicídio,04/03/2012,21:30,Maceió,Tabuleiro do Martins,Masculino,Parda,20,PAF,Interior de Veículo
429,CVLI,Homicídio,04/03/2012,04:00,Teotônio Vilela,Centro,Masculino,Parda,46,PAF,Via Pública
430,CVLI,Homicídio,04/03/2012,16:00,Coruripe,Centro,Masculino,Parda,48,PAF,Via Pública
431,CVLI,Homicídio,04/03/2012,17:00,Maceió,Tabuleiro do Martins,Masculino,NI,36,PAF,Via Pública
432,CVLI,Homicídio,04/03/2012,05:00,Marechal Deodoro,Barra Nova,Masculino,NI,30,PAF,Próximo de Casa
433,CVLI,Homicídio,04/03/2012,21:30,Maceió,Tabuleiro do Martins,Masculino,NI,26,PAF,Via Pública
434,CVLI,Homicídio,04/03/2012,18:30,Maceió,Riacho Doce,Masculino,Preta,22,PAF,Via Pública
14394,CVLI,Homicídio,01/11/2015,21:00,Maceió,Benedito Bentes,Masculino,Branca,21,PAF,Imediações de Casa
436,CVLI,Homicídio,06/03/2012,22:30,Rio Largo,Mata do Rolo,Feminino,NI,,PAF,Via Pública
437,CVLI,Homicídio,07/03/2012,17:52,Rio Largo,Zona Rural,Masculino,Parda,19,PAF,Estrada Vicinal
438,CVLI,Homicídio,07/03/2012,04:00,União dos Palmares,Centro,Masculino,Parda,12,BRANCA,Prédio Abandonado
33336,CVLI,Homicídio,01/11/2019,08:20,Maceió,Vergel do Lago,Masculino,Parda,18,PAF,Porta de Casa
440,CVLI,Homicídio,07/03/2012,09:40,Maceió,Clima Bom,Masculino,Branca,20,PAF,Via Pública
441,CVLI,Homicídio,07/03/2012,17:30,Cajueiro,Centro,Feminino,Preta,5,ASFIXIA MECÂNICA,Local Público
442,CVLI,Homicídio,08/03/2012,09:30,Taquarana,Zona Rural,Masculino,Parda,18,PAF/B,Próximo de Casa
443,CVLI,Homicídio,08/03/2012,18:00,Porto Real do Colégio,Zona Rural,Masculino,NI,41,PAF,Porta de Casa
444,CVLI,Homicídio,08/03/2012,19:40,Santana do Ipanema,Centro,Masculino,Parda,19,PAF,Terreno Baldio
445,CVLI,Homicídio,08/03/2012,06:00,Junqueiro,Zona Rural,Masculino,Parda,,PAF,Vegetação
446,CVLI,Homicídio,08/03/2012,06:00,Junqueiro,Zona Rural,Masculino,Preta,,PAF,Vegetação
447,CVLI,Homicídio,09/03/2012,00:40,Maceió,Clima Bom,Masculino,Parda,26,PAF,Terreno Baldio
448,CVLI,Homicídio,09/03/2012,18:00,Arapiraca,Primavera,Masculino,Parda,16,PAF,Porta de Casa
449,CVLI,Homicídio,09/03/2012,04:00,Rio Largo,Tabuleiro do Pinto,Masculino,Parda,32,PAF,Via Pública
450,CVLI,Homicídio,09/03/2012,04:30,Canapi,Zona Rural,Masculino,Parda,29,PAF,Porta de Casa
2713,CVLI,Homicídio,01/12/2012,21:23,Maceió,Vergel do Lago,Masculino,Parda,20,PAF,Imediações de Casa
452,CVLI,Homicídio,10/03/2012,21:30,Rio Largo,Zona Rural,Masculino,Parda,31,PAF,Via Pública
453,CVLI,Homicídio,10/03/2012,07:30,Maceió,Jacintinho,Masculino,NI,26,PAF,Terreno Baldio
454,CVLI,Homicídio,10/03/2012,15:45,São José da Laje,Zona Rural,Masculino,Preta,23,BRANCA,Próximo de Casa
455,CVLI,Homicídio,09/03/2012,20:30,Maceió,Santa Lúcia,Masculino,Parda,56,ASFIXIA MECÂNICA,Quarto de Motel
456,CVLI,Homicídio,10/03/2012,18:30,Marechal Deodoro,Zona Rural,Masculino,Parda,22,PAF,Próximo de Casa
457,CVLI,Homicídio,10/03/2012,22:00,Maceió,Santos Dumont,Masculino,Parda,21,PAF,Imediações de Casa
10851,CVLI,Homicídio,01/12/2014,20:50,Maceió,Benedito Bentes,Masculino,Parda,35,PAF,Imediações de Casa
459,CVLI,Homicídio,11/03/2012,23:30,Lagoa da Canoa,Centro,Masculino,NI,17,PAF,Terreno Baldio
460,CVLI,Homicídio,11/03/2012,20:30,Pilar,Chã do Pilar,Masculino,Preta,35,PAF,Dentro de Casa
461,CVLI,Homicídio,11/03/2012,23:10,Rio Largo,Centro,Masculino,Parda,25,PAF,Via Pública
