ID_CONTROLE,SUBJETIVIDADE,SUBJETIVIDADE COMPLEMENTAR,DATA DO FATO,HORA DO FATO,CIDADE DO FATO,BAIRRO DO FATO,SEXO DA VITIMA,COR/RACA DA VITIMA,IDADE DA VITIMA,INSTRUMENTO UTILIZADO,LOCAL DO FATO
874,CVLI,Homicídio,16/05/2012,19:15,Maceió,Benedito Bentes,Masculino,Parda,19,PAF,Porta de Casa
1274,CVLI,Homicídio,31/03/2012,18:30,Maceió,Vergel do Lago,Masculino,Parda,27,PAF,Via Pública
1235,CVLI,Homicídio,22/03/2012,19:00,Maceió,Vergel do Lago,Masculino,NI,15,ESPANCAMENTO,Via Pública
1240,CVLI,Homicídio,21/06/2012,21:30,Maceió,Vergel do Lago,Masculino,Parda,23,PAF,Via Pública
1282,CVLI,Homicídio,24/06/2012,13:00,Maceió,Benedito Bentes,Masculino,Parda,24,PAF,Dentro de Casa
892,CVLI,Homicídio,20/05/2012,23:30,Maceió,Benedito Bentes,Feminino,Parda,16,PAF,Via Pública
1017,CVLI,Homicídio,04/06/2012,07:00,Maceió,Benedito Bentes,Masculino,Parda,16,PAF/B,Via Pública
24893,CVLI,Homicídio,19/03/2018,15:58,Maceió,Benedito Bentes,Masculino,Parda,14,ESPANCAMENTO,Imediações de Casa
1294,CVLI,Homicídio,26/06/2012,16:45,Maceió,Vergel do Lago,Masculino,Parda,23,PAF/B,Porta de Casa
775,CVLI,Homicídio,30/04/2012,21:22,Maceió,Benedito Bentes,Masculino,Parda,15,PAF,Via Pública
702,CVLI,Homicídio,14/04/2012,13:00,Maceió,Benedito Bentes,Masculino,Parda,18,PAF,Via Pública
703,CVLI,Homicídio,14/04/2012,14:30,Maceió,Benedito Bentes,Masculino,Parda,21,PAF,Próximo de Casa
592,CVLI,Homicídio,02/04/2012,15:40,Maceió,Benedito Bentes,Masculino,Parda,28,PAF,Via Pública
704,CVLI,Homicídio,14/04/2012,15:00,Maceió,Vergel do Lago,Masculino,NI,20,PAF,Via Pública
595,CVLI,Homicídio,02/04/2012,21:00,Maceió,Benedito Bentes,Masculino,Parda,28,PAF,Via Pública
784,CVLI,Homicídio,02/05/2012,05:06,Maceió,Benedito Bentes,Masculino,Parda,18,ESPANCAMENTO,Via Pública
717,CVLI,Homicídio,04/04/2013,06:20,Maceió,Vergel do Lago,Masculino,NI,43,PAF,Imediações de Casa
807,CVLI,Homicídio,07/05/2012,13:49,Maceió,Vergel do Lago,Masculino,Parda,37,PAF,Via Pública
799,CVLI,Homicídio,06/05/2012,17:00,Maceió,Benedito Bentes,Masculino,NI,29,BRANCA,Via Pública
967,CVLI,Homicídio,27/05/2012,23:04,Maceió,Vergel do Lago,Masculino,NI,31,PAF,Porta de Casa
970,CVLI,Homicídio,26/05/2012,00:00,Maceió,Vergel do Lago,Masculino,Parda,33,PAF,NI
752,CVLI,Homicídio,22/04/2012,18:45,Maceió,Benedito Bentes,Masculino,Parda,23,PAF,Via Pública
561,CVLI,Homicídio,28/03/2012,15:30,Maceió,Benedito Bentes,Masculino,Parda,43,ESPANCAMENTO,Dentro de Casa
563,CVLI,Homicídio,29/03/2012,10:30,Maceió,Vergel do Lago,Masculino,NI,41,ESPANCAMENTO,Via Pública
565,CVLI,Homicídio,30/03/2012,15:50,Maceió,Vergel do Lago,Masculino,NI,21,PAF,Via Pública
837,CVLI,Homicídio,12/05/2012,03:00,Maceió,Vergel do Lago,Masculino,Parda,28,PAF,Via Pública
1918,CVLI,Homicídio,13/09/2012,03:00,Maceió,Benedito Bentes,Masculino,Parda,42,PAF,Imediações de Casa
1689,CVLI,Homicídio,10/08/2012,00:00,Maceió,Benedito Bentes,Feminino,Parda,15,PAF,Vegetação
1894,CVLI,Homicídio,02/09/2012,22:00,Maceió,Benedito Bentes,Feminino,Parda,19,BRANCA,Campo de Futebol
1936,CVLI,Homicídio,17/09/2012,10:20,Maceió,Vergel do Lago,Masculino,Preta,34,PAF,Via Pública
1704,CVLI,Homicídio,12/08/2012,06:15,Maceió,Benedito Bentes,Masculino,Parda,21,PAF,Via Pública
